# Plan 008 未完成 Task → GitHub Issue → beads ID 映射（2026-06-26）
# Task ID	Phase	Priority	Gap/Standard	GitHub	Beads ID	Title
T008.005	0	P0	S3/S4	#1180	ZoneCNH-rm93	clickhousex DDL 生产契约文档化 (S3 ReplicatedMergeTree + S4 TTL)
T008.006	0	P0	S6	#1181	ZoneCNH-gar4	kafkax dead-letter/retry topic 模式内建或文档化 (S6)
T008.027	2	P0	S26	#1182	ZoneCNH-9ql1	引入 feature flag 机制 (S26 发布安全网)
T008.028	2	P0	S26	#1183	ZoneCNH-an3k	部署健康门禁 + 回滚 runbook (S26 发布安全网)
T008.031	2	P1	S29	#1184	ZoneCNH-lfel	资源配额与隔离 (S29)
T008.034	3	P2	S18-S25	#1185	ZoneCNH-7k6i	Foundation 模块增强 (postgresx/ossx/redisx)
T008.035-038	3	P2	S31-S35+M1-M4	#1186	ZoneCNH-1xwk	规模化与合规 (S31-S35 + M1-M4)
#
# 审计新发现（2026-06-26，FR-012~030 §7 行为规范补齐 + 深度审计）
# ID	Scope	Priority	Category	Source	Title
SPEC-GAP-001	redisx	P1	依赖契约缺口	审计-FR-005/011/017	redisx SPEC.md 无 SetNX / conditional-set 文档；binance FR-005/011/017 依赖此原语	#1190
SPEC-GAP-002	taosx	P1	依赖契约缺口	审计-FR-006e/038	taosx SPEC.md 无 DeleteRange 文档；binance FR-006e/038 依赖此方法（对应 T008.001）	#1191
SPEC-GAP-003	SPEC.md	P1	编号空间碰撞	审计-FR-031~036 vs FR-037~044	AC-105~128 / TC-050~065 被 Draft FR-031~036 和 Current FR-037~044 双重占用；Draft 提升时需协调	#1192
SPEC-GAP-004	SPEC.md	P2	§13 边界场景	审计-FR-012~030	FR-012~030 引入的新边界场景未列入 §13 边界场景表（回填重叠拒绝 / drain 超时 / rehydration TTL 过期 / schema 漂移检测 / 对账差异告警）	#1193
SPEC-GAP-005	SPEC.md	P2	§15 配置表	审计-FR-012~030	FR-013/019/025/026/027 的新配置键未列入 §15 配置表（clock_skew_threshold / max_concurrent_backfill_jobs / max_backfill_per_instrument / backfill_rate_limit / reconciliation.tolerance / rehydration.ttl）	#1193
SPEC-GAP-006	SPEC-exchangeinfo-sync.md	P2	FR-031~036 迁移路径	审计-FR-031~036	FR-031~036 定义于 SPEC-exchangeinfo-sync.md 而非 SPEC.md §7；Draft→Active 提升时需迁移并协调 AC/TC 编号	#1193
SPEC-GAP-007	SPEC.md	P3	TC 总数不一致	审计-§16	已修复——FR→AC 映射索引现已显示 65 TC（TC-001~065），与 §16 条目计数匹配	已修复（PR #1189）
SPEC-GAP-008	ACCEPTANCE.md	P3	跨文件 FR 覆盖缺口	审计-FR-012~030	已确认：ACCEPTANCE.md 通过批量范围行覆盖全部 19 个 FR（AC-048~059/FR-012~015、AC-060~071/FR-016~019、AC-072~080/FR-020~022 等）；先前报告的"7 个 FR 零引用"有误——覆盖是基于范围分组而非逐 FR 条目。降级为 P3。	#1193
SPEC-GAP-009	SPEC.md	P3	§6 Consumers 表	审计-§6	§6 列出 "Operator / SRE : client :8081 / server :8082 Gin admin 端点" 但未反映 FR-016/019/024~028 引入的新 admin 管理面	#1193
SPEC-GAP-010	SPEC.md	P3	§22 DoD 范围	审计-§22	DoD "[ ] 所有 FR 实现完成" 范围已扩至 38 FR；DoD 描述未显式反映扩展后的 FR 集	#1193
SPEC-GAP-011	SPEC.md	P3	FR→AC 映射表缺 FR-031~036	审计-§7	FR→AC 映射表 42 行覆盖 FR-001~044 但直接从 FR-030 跳到 FR-037；FR-031~036（Draft）零行；Draft 提升时需补充	#1193
