task_id	beads_id	gh_issue	title
T008.001	ZoneCNH-hdw	1132	taosx Client interface 新增 DeleteRange(ctx, table, before)
T008.002	ZoneCNH-bet	1133	natsx 新增 OnDeadLetter(msg) 回调 hook（MaxDeliver 超限 Term 触发）
T008.003	ZoneCNH-ahe	1134	kafkax Producer 默认 RequiredAcks=all，确认并修正默认值
T008.004	ZoneCNH-7d6	1135	FR-032 exchangeInfo 6h 刷新落地（G4/G5 的 catalog 前置）
T008.005	ZoneCNH-njl	1136	clickhousex DDL 校验：文档要求 ReplicatedMergeTree + TTL
T008.006	ZoneCNH-0pa	1137	kafkax dead-letter/retry topic 模式内建或文档化
T008.007	ZoneCNH-1x4	1138	新增 internal/server/alert_dispatcher.go 统一 AlertDispatcher
T008.008	ZoneCNH-dgq	1139	G1：stale 超阈值 → AlertDispatcher.onStale → 写 alerts 表 + natsx alert subject
T008.009	ZoneCNH-slc	1140	G2：gap 检测 → AlertDispatcher.onGap → 写 alerts 表 + 生成 ReplayJob
T008.010	ZoneCNH-n5l	1141	新增 binance_alerts 表（migration 008）
T008.011	ZoneCNH-8kt	1142	G4：HistoryRuntime 状态持久化到 postgresx（migration 006，jobs+coverage 表）
T008.012	ZoneCNH-4e8r	1143	G3：新增 internal/server/replay_bridge.go，消费 RepairRequired 生成 ReplayJob
T008.013	ZoneCNH-y941	1144	G8：appendDeadLetter 接线 deadletter.FileWriter（JSONL 落盘）
T008.014	ZoneCNH-4xvp	1145	G8：新增 POST /api/v1/admin/deadletter/replay replay endpoint
T008.015	ZoneCNH-d674	1146	G6 Layer A：ALTER DATABASE binance KEEP 365（DDL 层 retention）
T008.016	ZoneCNH-ptva	1147	G6 Layer B：新增 taos_retention.go 定时删 tick(30d)/depth(3d)
T008.017	ZoneCNH-gu84	1148	G7 Path B：新增 oss_lifecycle_scheduler.go 每日 03:00 UTC 定时迁移
T008.018	ZoneCNH-8cnj	1149	G6+G7 删除顺序契约：G7 归档+ETag 校验成功 → 才触发 G6 删 taosx
T008.019	ZoneCNH-oig2	1150	DLQ FileWriter 路径纳入 OSS 归档（跨磁盘安全）
T008.020	ZoneCNH-incw	1151	G5：新增 reconcile_worker.go 消费 LifecycleTask 执行真实对账
T008.021	ZoneCNH-o97y	1152	G5：新增 binance_reconciliation_alerts 表（migration 007）
T008.022	ZoneCNH-oj40	1153	G9：range 查询 handler 增加冷热判断 + 202 异步分支
T008.023	ZoneCNH-zwsz	1154	G9：新增 rehydrate_manager.go job 状态机 + 24h TTL 临时表 + GET /rehydration/jobs/:id
T008.024	ZoneCNH-ugsm	1155	S3：clickhouse DDL 改 ReplicatedMergeTree
T008.025	ZoneCNH-x6an	1156	S4：clickhouse DDL 加 TTL bucket + INTERVAL 730 DAY
T008.026	ZoneCNH-vmsl	1157	S14：clickhouse ETL 幂等（ReplacingMergeTree 或先删后写）
T008.027	ZoneCNH-yzd3	1158	S26：引入 feature flag 机制（XGO_BINANCE_FEATURE_{name}）
T008.028	ZoneCNH-1x7m	1159	S26：部署工作流集成健康门禁 + 回滚 runbook
T008.029	ZoneCNH-jfma	1160	S27：SchemaVersion 语义化 + 未知 MAJOR 版本 terminal reject
T008.030	ZoneCNH-lj5c	1161	S28：OpenTelemetry SDK 埋点 + trace context 传播（NATS/Kafka header）
T008.031	ZoneCNH-qiad	1162	S29：Kafka consumer group 配额 + per-product-line WS 隔离 + API per-caller 限流
T008.032	ZoneCNH-z9sa	1163	S30：admin 写操作审计 + 生命周期审计 + audit_log append-only
T008.033	ZoneCNH-2zhj	1164	S15/S8/S6/S10/S11/S17：redisx AOF 文档 + natsx 多节点 + kafkax DLQ + PG PITR/replica + RPO/RTO runbook
T008.034	ZoneCNH-j9zq	1165	S18-S25：Foundation 模块增强（ossx versioning / kafkax EOS / redisx Sentinel / taosx Schemaless / ch 分区 / pg 逻辑复制 / natsx Purge / redisx 降级）
T008.035	ZoneCNH-njvg	1166	S31：成本可观测（存储容量监控 + per-product-line 分摊 + 成本告警）
T008.036	ZoneCNH-pyxz	1167	S32：数据合规与销毁（分类 + 合规保留期 + 销毁证明 + 血缘文档）
T008.037	ZoneCNH-5ts9	1168	S34/S35：容量规划 runbook + 凭证轮转 runbook
T008.038	ZoneCNH-vicx	1169	M1-M4：SLA 仪表盘 + 覆盖率度量 + chaos 测试 + runbook 文档化
T008.039	ZoneCNH-036r	1170	全量回归 + 生产级 SLO 验收（build/vet/test-race/boundary-gates/govulncheck + 四维 SLO）
T008.040	ZoneCNH-771j	1171	TRACEABILITY.md + SPEC.md + FEATURES.md 同步（FR 状态按 L0-L3 重判，runtime SHA+CI URL 回填）
