beads_id	phase	master_issue	title	priority	label
ZoneCNH-gg63	ROOT	#1540	[EPIC] binance runtime gap closure（PRG-007 真实化，主仓）	P0	runtime-gap
ZoneCNH-gg63.1	Phase 1	#1541	[EPIC] Phase 1: binance 治理分裂修复（11 陷阱）	P0	governance-trap
ZoneCNH-gg63.1.9	Phase 1	#1550	T10-1: registry.yaml latest_tag 修正（v0.8.0→v0.11.0）	P1	governance-trap
ZoneCNH-gg63.1.1	Phase 1	#1542	T0-1/T8-1: Runtime-Version 三处统一为 v0.11.0	P0	governance-trap
ZoneCNH-gg63.1.4	Phase 1	#1545	T1-1: CHANGELOG vs SPEC 版本单向追溯	P1	governance-trap
ZoneCNH-gg63.1.10	Phase 1	#1551	T8-3 修正: BR 数量缩减（9→5）vs CHANGELOG 声明 Implemented（GAP-E53）	P3	governance-trap
ZoneCNH-gg63.1.3	Phase 1	#1544	T7-2: 补 v0.11.0 GitHub Release（PRG-002 真实化，shallow clone）	P0	governance-trap
ZoneCNH-gg63.1.8	Phase 1	#1549	T4-1: Task 计数矛盾对齐（实际 39 vs README 47/47）	P1	governance-trap
ZoneCNH-gg63.1.6	Phase 1	#1547	T8-2: 新建 SECURITY.md + CONTRIBUTING.md（GAP-E44/E45）	P1	governance-trap
ZoneCNH-gg63.1.5	Phase 1	#1546	T2-1: evidence/ 补 GAP-E 引用（GAP-E57）	P1	governance-trap
ZoneCNH-gg63.1.2	Phase 1	#1543	T7-1: PRG-006 TRACEABILITY §4 降级 Partial	P0	governance-trap
ZoneCNH-gg63.1.7	Phase 1	#1548	T9-1: SCORECARD 测试维度评分下调（93→85）	P1	governance-trap
ZoneCNH-gg63.7	Phase 2	#1552	GAP-E6: UM/CM/Options 4 线 ExchangeInfoRefresher 装配	P0	runtime-gap
ZoneCNH-gg63.8	Phase 3	#1553	GAP-E25: 评估单副本负载（§8.2 勘误，默认 deferred）	P2	runtime-gap
ZoneCNH-gg63.2	Phase 4	#1554	[EPIC] Phase 4: GAP-E1 v3.2 重构（server 端 coverage SSOT）	P0	runtime-gap
ZoneCNH-gg63.2.1	Phase 4	#1555	GAP-E7: SPEC §509 移除 history_state_postgres.go（前置）	P1	runtime-gap
ZoneCNH-gg63.2.2	Phase 4	#1556	P4.1: server coverage store（PG 持久化）	P1	runtime-gap
ZoneCNH-gg63.2.3	Phase 4	#1557	P4.2: server NATS subscriber（binance.coverage.heartbeat）	P1	runtime-gap
