beads_id	phase	github_number	title	priority
ZoneCNH-gg63	ROOT	—	[EPIC] binance runtime gap closure（PRG-007 真实化）	P0
ZoneCNH-gg63.1	Phase 1	—	[EPIC] Phase 1: 治理分裂修复（11 个陷阱：T0-1~T10-1）	P0
ZoneCNH-gg63.1.1	Phase 1	#365	T0-1/T8-1: Runtime-Version 三处统一为 v0.11.0	P0
ZoneCNH-gg63.1.2	Phase 1	#366	T7-1: PRG-006 TRACEABILITY §4 降级 Partial	P0
ZoneCNH-gg63.1.3	Phase 1	#367	T7-2: 补 v0.11.0 GitHub Release（PRG-002）	P0
ZoneCNH-gg63.1.4	Phase 1	#368	T1-1: CHANGELOG vs SPEC 版本单向追溯	P1
ZoneCNH-gg63.1.5	Phase 1	#369	T2-1: evidence/ 补 GAP-E 引用	P1
ZoneCNH-gg63.1.6	Phase 1	#370	T8-2: 新建 SECURITY.md + CONTRIBUTING.md	P1
ZoneCNH-gg63.1.7	Phase 1	#371	T9-1: SCORECARD 测试维度评分下调	P1
ZoneCNH-gg63.1.8	Phase 1	#400	T4-1: Task 计数矛盾对齐（实际 39 vs README 47/47）	P1
ZoneCNH-gg63.1.9	Phase 1	#401	T10-1: registry.yaml lifecycle/maturity 字段核验	P1
ZoneCNH-gg63.1.10	Phase 1	#402	T8-3 修正: BR 数量缩减（历史 9 → 现 5）vs CHANGELOG 声明 Implemented	P3
ZoneCNH-gg63.7	Phase 2	#372	GAP-E6: UM/CM/Options 4 线 ExchangeInfoRefresher 装配	P0
ZoneCNH-gg63.8	Phase 3	（deferred）	GAP-E25: 评估单副本负载（§8.2 勘误，默认 deferred）	P2
ZoneCNH-gg63.2	Phase 4	—	[EPIC] Phase 4: GAP-E1 v3.2 重构（server 端 coverage SSOT）	P0
ZoneCNH-gg63.2.1	Phase 4	#373（合并）	GAP-E7: SPEC §509 移除 history_state_postgres.go（前置）	P1
ZoneCNH-gg63.2.2	Phase 4	#373（合并）	P4.1: server coverage store（PG 持久化）	P1
ZoneCNH-gg63.2.3	Phase 4	#373（合并）	P4.2: server NATS subscriber	P1
ZoneCNH-gg63.2.4	Phase 4	#373（合并）	P4.3: client coverage_reporter	P1
ZoneCNH-gg63.2.5	Phase 4	#373（合并）	P4.4: 删除 internal/client/history_state_postgres.go	P1
ZoneCNH-gg63.2.6	Phase 4	#373（合并）	P4.5: cmd/binance-client/main.go 移除 postgresx 装配	P1
ZoneCNH-gg63.2.7	Phase 4	#373（合并）	P4.6: 测试覆盖（单元 + 集成）	P1
ZoneCNH-gg63.3	Phase 5	—	[EPIC] Phase 5: P1 独立批次（5 项无依赖并行）	P1
ZoneCNH-gg63.3.1	Phase 5	#374	GAP-E32: 7 处 goroutine 加 recover 包装	P1
ZoneCNH-gg63.3.2	Phase 5	#375	GAP-E27: WebSocket SetReadLimit（OOM 保护）	P1
ZoneCNH-gg63.3.3	Phase 5	#376	GAP-E34: HTTP server 完整超时（Read/Write/Idle）	P1
ZoneCNH-gg63.3.4	Phase 5	#377	GAP-E36: ldflags 注入 buildinfo	P1
ZoneCNH-gg63.3.5	Phase 5	#378	GAP-E29: 集成 golang-migrate migration runner	P1
ZoneCNH-gg63.4	Phase 6	—	[EPIC] Phase 6: EXCHANGEINFO symbol 分级体系	P1
ZoneCNH-gg63.4.1	Phase 6	#379	GAP-E26: interval SSOT（前置）	P1
